Biological Replicate,Reinforcement,Timepoint,Culture Conditions,COL1A2,YWHAZ,dCT COL1A2,Control dCT COL1A2,ddCT COL1A2,2^-dCT COL1A2,2^-ddCT COL1A2
137,400,D1,S,36.43148422241211,30.62626775105794,5.805216471354168,-3.7319482167561837,9.537164688110352,0.017883631431567532,0.0013459451296248546
137,400,D14,S,16.285836537679035,21.79100227355957,-5.505165735880535,-3.7319482167561837,-1.7732175191243513,45.41716459345727,3.4181542892922465
137,400,D28,D,15.422706604003906,20.57233492533366,-5.149628321329754,-3.7319482167561837,-1.41768010457357,35.49707688634274,2.671555714727915
137,400,D28,S,15.477172215779623,20.54543113708496,-5.068258921305338,-3.7319482167561837,-1.3363107045491542,33.550419989342345,2.5250478100221954
137,800,D1,S,19.272137959798176,20.784945805867512,-1.512807846069336,-3.7319482167561837,2.2191403706868478,2.853648905899218,0.21476929119522176
137,800,D14,S,16.154616673787434,21.44921112060547,-5.294594446818035,-3.7319482167561837,-1.5626462300618513,39.249284431602845,2.9539516861618784
137,800,D28,D,14.993671417236328,20.527624130249023,-5.533952713012695,-3.7319482167561837,-1.8020044962565116,46.332502858135335,3.4870438257388563
137,800,D28,S,15.272313117980957,21.04345703125,-5.771143913269043,-3.7319482167561837,-2.0391956965128593,54.61191771428411,4.110163248906277
137,Alg,D1,S,17.955828348795574,21.687776565551758,-3.7319482167561837,-3.7319482167561837,0.0,13.287043459603815,1.0
137,Alg,D14,S,17.620342254638672,22.233746846516926,-4.613404591878254,-3.7319482167561837,-0.8814563751220703,24.477844092344466,1.8422340655965863
137,Alg,D28,S,16.513691584269207,21.49988619486491,-4.986194610595703,-3.7319482167561837,-1.2542463938395194,31.695247105372445,2.3854251099377013
164,400,D1,S,24.862022399902344,21.852805455525715,3.009216944376629,-2.4934126536051444,5.502629597981773,0.12420395816739535,0.022056847270028664
164,400,D14,S,20.033606847127277,22.169308344523113,-2.1357014973958357,-2.4934126536051444,0.3577111562093087,4.394507525214222,0.7804017097426648
164,400,D28,D,16.86962954203288,20.351783116658527,-3.4821535746256487,-2.4934126536051444,-0.9887409210205043,11.174617732460968,1.9844523496880633
164,400,D28,S,17.070571899414062,20.22706413269043,-3.156492233276367,-2.4934126536051444,-0.6630795796712228,8.916590940243573,1.5834590736086696
164,800,D1,S,23.66044807434082,21.454514185587566,2.205933888753254,-2.4934126536051444,4.699346542358398,0.21674432292161558,0.03849069303318566
164,800,D14,S,18.163651784261067,21.498438517252605,-3.334786732991539,-2.4934126536051444,-0.8413740793863944,10.089527671682202,1.7917558680464165
164,800,D28,D,16.928312301635742,20.38300323486328,-3.454690933227539,-2.4934126536051444,-0.9612782796223946,10.963913402636724,1.9470342730773043
164,800,D28,S,17.094730377197266,20.6478754679362,-3.5531450907389335,-2.4934126536051444,-1.059732437133789,11.738247200539437,2.0845448852056454
164,Alg,D1,S,18.366143544514973,20.859556198120117,-2.4934126536051444,-2.4934126536051444,0.0,5.631083928126322,1.0
164,Alg,D14,S,19.228769938151043,21.859315236409504,-2.630545298258461,-2.4934126536051444,-0.13713264465331676,6.19260016104022,1.0997172551645373
164,Alg,D28,S,18.685874938964844,21.17492930094401,-2.489054361979168,-2.4934126536051444,0.0043582916259765625,5.614098444186672,0.9969836208878348
184,400,D1,S,21.411352157592773,22.024192810058594,-0.6128406524658203,-2.557668685913086,1.9448280334472656,1.5292673589955414,0.25974573518544614
184,400,D14,S,15.400534629821777,20.958319981892902,-5.557785352071125,-2.557668685913086,-3.000116666158039,47.104250774782265,8.000646960706568
184,400,D28,D,16.140145301818848,20.924508412679035,-4.784363110860188,-2.557668685913086,-2.2266944249471017,27.557309033040298,4.680603069446966
184,400,D28,S,15.752772649129232,21.29834747314453,-5.545574824015299,-2.557668685913086,-2.987906138102213,46.70725723833255,7.933217693101764
184,800,D1,S,20.617644627888996,21.2008113861084,-0.5831667582194022,-2.557668685913086,1.9745019276936837,1.498134090724314,0.25445775620108635
184,800,D14,S,15.539966265360514,21.99981180826823,-6.459845542907717,-2.557668685913086,-3.9021768569946307,88.02525174112944,14.9510702585069
184,800,D28,D,15.71198813120524,20.258803685506184,-4.546815554300943,-2.557668685913086,-1.9891468683878575,23.37372158176257,3.970021631967983
184,800,D28,S,15.706463813781738,21.233612696329754,-5.5271488825480155,-2.557668685913086,-2.9694801966349296,46.114510620326286,7.832539806290756
184,Alg,D1,S,18.09204610188802,20.649714787801106,-2.557668685913086,-2.557668685913086,0.0,5.887555219737169,1.0
184,Alg,D14,S,16.456754048665363,21.51218859354655,-5.055434544881187,-2.557668685913086,-2.4977658589681013,33.25350587156319,5.648100889157808
184,Alg,D28,S,18.31381670633952,22.516876856486004,-4.203060150146484,-2.557668685913086,-1.6453914642333984,18.41819975347865,3.128327304979549
